[po4_discharge];[no3_discharge];[no2_discharge];[o2_discharge];[sio2_discharge];[tn_discharge];[na_discharge];[k_discharge];[mg_discharge];[ca_discharge];[cl_discharge];[so4_discharge];[co3_discharge];[hco3_discharge];[nh4_discharge];[chl_a_discharge];[br_discharge];[alk_discharge])
930.16129032258;30174.071428571;1024.8571428571;22577.75;33055.357142857;36755;318472.92576419;62526.637554585;50251.275720165;108051.48490142;314242.03102962;121568.93325016;0;941026.66666667;6922.6428571429;35488.5;74.620253164557;106383
1014.3225806452;45200.214285714;1331.6428571429;40062.125;42679.642857143;60344.285714286;408209.08296943;81175.152838428;87668.230452675;150647.76640878;328768.68829337;187379.91266376;0;1497956.6666667;7075.3571428571;67089.5;101.08860759494;174085
1322.3387096774;57405.571428571;1655.0357142857;49952.5625;56115;74634.285714286;507612.59825328;103312.7510917;107243.43621399;192034.97629149;416441.18476728;232510.91703057;0;1871785;9274.6785714286;81185.107142857;126.22784810127;217083
1162.7096774194;53619.5;1504.5714285714;46125.53125;51665;67979.285714286;488536.15720524;97327.947598253;98473.374485597;178075.04367357;410265.44428773;217092.9507174;0;1717353.3333333;8735.5;74367.714285714;116.96202531646;198686
1187.6774193548;50288.142857143;1507.1428571429;42347.5625;49790.714285714;63882.857142857;506875.19650655;97534.978165939;91852.016460905;172504.76665835;449080.67700987;209335.62071117;0;1616296.6666667;9371;69248.785714286;113.63291139241;185391
1287.5483870968;50908.642857143;1610.1428571429;41833.21875;53082.142857143;64869.285714286;588978.25327511;108784.36681223;91815.020576132;183610.15722486;555047.95486601;220442.91952589;0;1645373.3333333;11274.5;68299.285714286;116.93670886076;186074
1309.2580645161;48965.857142857;1664.4285714286;39934.125;52702.5;62877.857142857;670063.5371179;116902.88209607;88886.625514403;186673.64611929;655020.59238364;226774.79725515;0;1603080;12826.857142857;67446.642857143;115.24050632911;178381
1253.2258064516;48177.142857143;1613.7857142857;39365.65625;51203.928571429;61091.428571429;648787.37991266;113290.30567686;86838.271604938;181375.0686299;630574.04795487;221163.44354336;0;1562616.6666667;12324.357142857;66153.571428571;112.29113924051;174133
1221.3225806452;47021.285714286;1536.5;38873.65625;48587.142857143;59415;562959.12663755;102164.49781659;84958.641975309;170387.52183679;527446.54442877;207055.52089832;0;1517680;10699.5;65263.428571429;109.49367088608;171293
1140.8387096774;45002.571428571;1443.3571428571;37472.75;45054.642857143;56147.142857143;504384.49781659;93024.847161572;81208.847736626;158369.00424258;459477.29196051;193752.33936369;0;1438176.6666667;9445.7142857143;63197.071428571;104.64556962025;163467
1095.0322580645;43819.785714286;1389.5714285714;36694.4375;42746.428571429;54519.285714286;460362.3580786;86470.305676856;79404.279835391;150438.73221862;408073.34273625;184925.14036182;0;1394256.6666667;8517.2857142857;62076;102.16455696203;159521
1091.064516129;43961.142857143;1406.9285714286;36310.78125;43186.785714286;53725;502137.2489083;91241.615720524;78574.115226337;153690.16720739;460073.90691114;189825.32751092;0;1386530;9259.5;61805.571428571;103.0253164557;157366
1129.064516129;44284.928571429;1492.6428571429;36085.90625;45178.214285714;54340;600208.07860262;103130.13100437;79087.283950617;163743.57374594;578282.36953456;203636.93075483;0;1408490;11123.928571429;62400.928571429;105;157034
1261.935483871;53996.5;1656.9285714286;41200.03125;51851.428571429;55662.142857143;590748.64628821;107220.96069869;83051.769547325;177264.23758423;560069.67559944;215327.51091703;0;1516256.6666667;11234.357142857;65140.714285714;123.48101265823;170953
1252.3548387097;54621.357142857;1652.2857142857;41585.5625;52337.857142857;55750;591100.7860262;107602.18340611;83268.683127572;178188.52008984;560359.37940762;216116.65626949;0;1522966.6666667;11230;65075.5;123.84810126582;171773
1311.9032258065;57927.785714286;1730.3571428571;43963.0625;54942.857142857;58109.285714286;601807.03056769;110887.07423581;87103.497942387;185589.69303718;565496.19181946;224594.5102932;0;1594540;11455.214285714;68057.785714286;130.59493670886;180411
